"food_code","name","category","base_amount","base_unit","kcal","carbs","protein","fat","sugar","dietary_fiber","vit_a","vit_c","vit_d","calcium","iron","sodium","image"
"D401-037000000-0001","짬뽕밥","밥류","200","G","96","15.2","4.4","1.7","1.12","1.2","20.0","2.54","0.42","20.0","0.84","178.0","food-category/rice.jpg"
"D401-038000000-0001","차조밥","밥류","200","G","240","51.32","4.6","0.8","0.34","1.6","0.0","0.0","0.0","6.0","0.3","2.0","food-category/rice.jpg"
"D401-040000000-0001","참치덮밥","밥류","200","G","216","31.82","11.6","4.26","4.1","2.4","30.0","3.3","1.96","24.0","2.88","682.0","food-category/rice.jpg"
"D401-041350000-0001","참치회덮밥_양념장","밥류","200","G","152","24.28","9.46","1.62","3.3","1.4","54.0","2.38","1.52","20.0","0.92","176.0","food-category/rice.jpg"
"D401-043000000-0001","충무김밥","밥류","200","G","256","47.18","7.0","3.8","1.74","3.0","130.0","10.44","0.1","56.0","0.8","372.0","food-category/rice.jpg"
"D401-044140000-0001","카레라이스_돼지고기","밥류","200","G","180","31.46","5.6","3.3","2.6","1.8","30.0","2.5","0.06","12.0","0.82","152.0","food-category/rice.jpg"
"D401-044280000-0001","카레라이스_소고기","밥류","200","G","226","38.56","5.4","4.96","1.76","1.6","34.0","2.4","0.0","16.0","0.58","596.0","food-category/rice.jpg"
"D401-044480000-0001","카레라이스_채소","밥류","200","G","190","37.92","4.18","2.36","3.64","2.4","30.0","3.84","0.0","18.0","0.94","188.0","food-category/rice.jpg"
"D401-047140000-0001","콩나물밥_돼지고기","밥류","200","G","182","34.42","6.6","1.68","0.42","1.4","4.0","0.66","0.02","22.0","0.48","178.0","food-category/rice.jpg"
"D401-050000000-0001","현미밥","밥류","200","G","240","51.5","4.6","0.76","0.36","1.4","0.0","0.0","0.0","4.0","0.24","2.0","food-category/rice.jpg"
"D401-017450000-0001","볶음밥_참치","밥류","200","G","240","32.8","13.16","5.44","2.5","1.6","44.0","2.8","2.04","24.0","2.86","442.0","food-category/rice.jpg"
"D401-017480000-0001","볶음밥_채소","밥류","200","G","230","42.74","5.8","3.38","1.52","2.4","34.0","5.28","0.06","16.0","0.54","214.0","food-category/rice.jpg"
"D401-017550000-0001","볶음밥_해물","밥류","200","G","212","30.76","10.64","4.38","2.16","1.4","54.0","1.86","1.14","26.0","1.42","280.0","food-category/rice.jpg"
"D401-017590000-0001","볶음밥_맛살","밥류","200","G","268","48.56","7.0","4.14","2.08","1.8","48.0","1.48","0.1","74.0","0.52","486.0","food-category/rice.jpg"
"D401-018000000-0001","비빔밥","밥류","200","G","266","35.36","9.0","9.28","2.2","2.2","134.0","6.32","0.2","32.0","1.26","268.0","food-category/rice.jpg"
